r_Targ,ug_Targ,ur_Targ,ui_Targ,uz_Targ,gr_Targ,gi_Targ,gz_Targ,ri_Targ,rz_Targ,iz_Targ
20.00688,2.9418921,5.3579807,5.5053525,5.8197045,2.4160883,2.56346,2.8778121,0.14737181,0.46172383,0.31435204
19.338402,2.1698027,3.6265523,3.9128964,4.037275,1.4567496,1.7430936,1.8674719,0.28634414,0.41072246,0.12437832
19.773342,4.078954,6.0261054,7.0342298,7.211027,1.9471513,2.9552755,3.132073,1.0081242,1.1849216,0.17679745
18.89361,4.423985,6.3219047,6.5522885,6.9484134,1.89792,2.1283038,2.5244286,0.23038375,0.62650865,0.39612487
19.721178,3.8545606,5.0464096,5.27123,5.2807407,1.1918489,1.4166694,1.4261799,0.22482051,0.23433103,0.009510522
18.520536,2.8007941,3.8712933,3.9434435,4.008049,1.0704991,1.1426493,1.2072549,0.07215027,0.13675581,0.06460554
19.76232,5.6361117,6.5696206,6.7282076,6.5207367,0.93350923,1.0920959,0.8846253,0.15858662,-0.048883915,-0.20747054
19.324333,3.453662,5.769733,5.9924245,6.2324114,2.316071,2.5387628,2.7787497,0.2226917,0.46267867,0.23998696
19.128277,2.9178288,4.5497956,4.7680964,4.7269025,1.6319667,1.8502675,1.8090738,0.21830082,0.17710714,-0.041193683
19.168154,4.1111765,4.930136,4.938641,4.863412,0.81895965,0.8274643,0.7522355,0.008504596,-0.066724196,-0.075228795
19.356367,2.16646,4.09795,4.1413484,4.169423,1.9314898,1.9748883,2.0029633,0.04339853,0.0714734,0.02807487
19.729012,2.8763387,3.9035978,4.137117,4.128761,1.0272593,1.2607783,1.2524223,0.23351894,0.22516306,-0.008355883
19.078323,4.6948085,5.6288404,5.909699,6.0568185,0.9340318,1.2148905,1.3620102,0.28085867,0.4279785,0.14711982
20.157642,3.5119464,5.136542,5.904238,5.9922357,1.6245953,2.3922918,2.4802892,0.7676965,0.8556939,0.087997384
19.719458,3.3476593,4.9577565,5.050996,5.184262,1.6100974,1.7033366,1.8366024,0.09323913,0.22650498,0.13326585
20.154888,2.7353435,4.1986275,4.3099995,4.238394,1.4632838,1.5746559,1.5030504,0.11137219,0.039766677,-0.07160551
19.864954,2.713965,4.3701158,4.5672956,4.5573626,1.6561509,1.8533304,1.8433979,0.19717948,0.18724689,-0.009932593
20.0406,2.656985,3.698938,3.7866197,3.7283773,1.0419528,1.1296345,1.0713923,0.08768169,0.029439436,-0.058242254
17.320732,5.274683,6.725472,6.6225104,6.5687237,1.4507889,1.3478273,1.2940409,-0.10296147,-0.15674792,-0.05378645
19.791065,4.9452868,6.154996,6.2036147,5.968223,1.2097092,1.258328,1.0229365,0.04861873,-0.18677276,-0.2353915
20.117033,2.287296,4.2041774,4.0363626,3.7501042,1.9168811,1.7490666,1.462808,-0.16781445,-0.45407298,-0.28625852
17.95959,3.7803476,4.9998913,4.8599157,4.9620094,1.2195435,1.079568,1.1816618,-0.13997547,-0.03788165,0.10209383
18.940636,5.6592436,6.7075787,6.8787127,7.0780997,1.0483352,1.2194688,1.4188559,0.1711336,0.3705207,0.19938712
19.955723,3.504223,5.864795,6.064883,6.444525,2.3605719,2.56066,2.9403017,0.20008805,0.5797298,0.37964177
19.81892,2.9405053,4.418562,4.6736093,4.822931,1.4780567,1.7331041,1.8824254,0.25504744,0.4043688,0.14932133
19.843294,3.3924665,4.688149,4.667757,4.7022667,1.2956823,1.2752907,1.3098001,-0.02039161,0.01411779,0.0345094
19.979967,1.2276107,3.190113,3.3370433,3.6928368,1.9625025,2.1094327,2.465226,0.14693011,0.5027235,0.3557934
19.529942,2.3409715,3.663057,3.821327,3.8325067,1.3220855,1.4803554,1.4915352,0.15826997,0.16944972,0.011179747
19.56979,3.539866,4.7702317,4.7926702,4.966164,1.2303659,1.2528043,1.4262984,0.02243843,0.19593251,0.17349409
17.954317,5.720572,6.9180527,7.1132526,7.337304,1.1974807,1.3926806,1.6167319,0.1951999,0.41925114,0.22405124
20.096975,3.9252758,5.2042727,5.23275,4.9171576,1.2789972,1.307474,0.991882,0.028476868,-0.28711507,-0.31559193
20.17774,3.002295,4.1858616,4.0731153,4.0457444,1.1835663,1.0708203,1.0434492,-0.112746,-0.1401172,-0.0273712
20.14613,1.7579863,3.2218506,3.3851995,3.4616938,1.4638642,1.6272134,1.7037076,0.1633491,0.23984332,0.07649422
19.666853,2.7522097,3.6777453,3.820417,3.8937902,0.9255357,1.0682074,1.1415806,0.14267173,0.21604493,0.0733732
