r_NonTarg,ug_NonTarg,ur_NonTarg,ui_NonTarg,uz_NonTarg,gr_NonTarg,gi_NonTarg,gz_NonTarg,ri_NonTarg,rz_NonTarg,iz_NonTarg
18.785686,0.33119702,0.5972023,0.5775344,0.6058368,0.26600528,0.24633734,0.27463976,-0.01966793,0.008634497,0.028302427
18.878452,-0.02046485,0.144693,0.25965506,0.41715738,0.16515785,0.2801199,0.43762222,0.11496205,0.27246436,0.15750232
20.003256,1.0298042,1.6012969,1.9075218,2.2229068,0.5714926,0.8777176,1.1931025,0.30622497,0.62160987,0.3153849
17.965502,0.26305464,0.48561454,0.6801508,0.83837575,0.22255988,0.41709617,0.57532114,0.19453628,0.35276124,0.15822496
19.164833,0.13626061,0.4435085,0.56454855,0.53239197,0.30724788,0.42828795,0.39613137,0.12104007,0.08888347,-0.0321566
18.049995,0.73844874,0.833202,0.96440154,1.2305549,0.09475325,0.22595283,0.49210626,0.13119958,0.397353,0.2661534
19.91394,0.11378848,0.23726195,0.4649831,0.47565418,0.12347347,0.35119462,0.3618657,0.22772114,0.23839223,0.01067109
19.317448,0.5493187,0.42304084,0.5867429,0.75391835,-0.12627785,0.03742421,0.20459965,0.16370207,0.3308775,0.16717544
18.375364,0.1700431,0.3951832,0.4406194,0.51591915,0.22514012,0.27057633,0.34587607,0.045436196,0.12073594,0.07529975
15.94331,0.44026002,0.6928628,0.92640215,1.1258974,0.2526028,0.48614216,0.68563735,0.23353939,0.43303457,0.19949518
18.501316,-0.00684888,0.32393634,0.35394922,0.26773956,0.33078524,0.3607981,0.27458847,0.030012865,-0.05619678,-0.08620964
19.160904,0.0732564,0.10962982,0.4485534,0.44122398,0.03637342,0.375297,0.36796758,0.3389236,0.33159414,-0.007329446
18.339012,0.20887719,0.38597816,0.39318484,1.0917284,0.17710099,0.18430766,0.8828513,0.00720668,0.7057503,0.6985436
19.011099,0.8769481,0.9395738,0.9626786,1.0444593,0.06262567,0.08573051,0.16751122,0.023104835,0.104885556,0.08178072
18.20564,0.17874596,0.16285513,0.33154014,0.30637115,-0.01589081,0.15279418,0.12762521,0.16868499,0.14351602,-0.02516897
17.34736,0.2599331,0.25796297,0.17062317,0.3220195,-0.00197012,-0.08930993,0.06208639,-0.08733981,0.06405651,0.15139632
18.88823,0.29632342,0.30858877,0.25431624,0.20150803,0.01226534,-0.04200719,-0.0948154,-0.05427253,-0.10708074,-0.052808214
17.865202,0.29976472,0.25081575,0.07059431,0.21222965,-0.048948985,-0.22917041,-0.08753506,-0.18022142,-0.038586076,0.14163536
17.978403,0.30351138,0.6804522,0.9649737,1.0869981,0.37694088,0.66146237,0.7834867,0.28452146,0.40654585,0.12202439
18.429579,-0.09192906,0.2367105,0.18006374,2.29643E-4,0.32863957,0.2719928,0.092158705,-0.056646753,-0.23648086,-0.1798341
19.587328,0.26131243,0.5545787,0.84749657,1.0015769,0.2932663,0.58618414,0.7402644,0.29291785,0.44699812,0.15408026
17.29823,0.6333599,0.88821286,1.0420588,1.2011988,0.25485295,0.40869886,0.56783885,0.1538459,0.3129859,0.15913999
19.947884,0.2620553,0.57818466,0.7420912,1.0051674,0.31612936,0.48003587,0.7431121,0.16390651,0.42698273,0.26307622
17.874685,1.0617265,2.091028,2.3254862,2.551993,1.0293016,1.2637599,1.4902666,0.23445818,0.4609649,0.22650671
17.337862,0.19333564,0.5029579,0.61513084,0.67742985,0.30962223,0.42179522,0.4840942,0.112173,0.17447196,0.062298965
18.804817,0.65493715,0.77367467,0.8963993,1.0607501,0.11873749,0.24146214,0.40581298,0.12272465,0.2870755,0.16435082
18.652111,-0.12530585,0.37151915,0.37713563,0.44299033,0.49682498,0.50244147,0.56829613,0.00561647,0.07147117,0.0658547
19.667963,-0.17663608,0.3429987,0.23834527,0.08171578,0.5196348,0.41498134,0.25835186,-0.10465345,-0.26128292,-0.15662949
19.425943,0.20089784,0.26274326,0.15595983,0.17429647,0.061845433,-0.044938017,-0.02660137,-0.10678345,-0.0884468,0.018336644
18.866793,0.13828263,0.6801832,0.84835976,0.9340698,0.5419006,0.71007717,0.79578716,0.1681766,0.2538866,0.08571
20.016415,0.5621077,0.59423137,0.7288844,0.8960934,0.0321237,0.16677673,0.33398575,0.13465303,0.30186206,0.16720901
18.502714,0.22759244,0.5482054,0.6089028,0.58988386,0.3206129,0.3813104,0.36229143,0.060697485,0.041678533,-0.01901895
20.196178,0.48251876,0.5628697,0.605772,0.845174,0.080350965,0.12325325,0.36265525,0.042902287,0.28230432,0.23940201
17.427866,1.064967,1.5597978,1.7434485,1.853253,0.49483073,0.67848134,0.788286,0.18365061,0.29345524,0.109804615
17.99671,0.87115943,0.97107077,0.98075366,1.1234392,0.09991131,0.10959422,0.25227976,0.00968291,0.15236846,0.14268555
19.658884,0.13856122,0.11533212,0.12362816,0.32417214,-0.0232291,-0.01493306,0.18561094,0.00829604,0.20884003,0.20054398
20.049534,0.12961963,0.19798803,0.38099688,0.43659618,0.0683684,0.25137725,0.30697656,0.18300886,0.23860817,0.0555993
18.381855,0.7694314,0.72573394,0.8513827,1.0432618,-0.04369747,0.08195129,0.27383032,0.12564877,0.31752777,0.19187902
18.993187,0.34459826,0.47880238,0.71206427,0.846071,0.13420413,0.36746603,0.5014728,0.23326191,0.36726865,0.13400674
16.380238,0.05480333,0.24418618,0.15282112,0.010470004,0.18938285,0.0980178,-0.044333328,-0.091365054,-0.23371617,-0.14235112
17.750977,1.4531252,2.4151442,2.854909,3.164598,0.96201897,1.4017837,1.7114726,0.4397647,0.7494536,0.3096889
20.159649,0.4723608,1.5205407,2.4623604,2.6414757,1.04818,1.9899995,2.1691148,0.9418196,1.1209348,0.17911524
18.472754,0.5311522,0.68283576,0.6744537,0.8293165,0.15168357,0.14330146,0.2981643,-0.008382116,0.14648072,0.15486285
19.748793,0.32518092,0.8495889,0.95028806,0.8308466,0.5244079,0.62510717,0.5056657,0.10069921,-0.018742245,-0.11944145
18.619936,0.43421116,0.5051518,0.6492546,0.99311703,0.07094066,0.21504346,0.5589059,0.1441028,0.48796523,0.3438624
17.985826,2.573377,3.940833,5.112726,5.72138,1.3674564,2.5393496,3.1480033,1.1718931,1.7805469,0.6086538
19.977304,0.06376139,0.43383113,0.35773677,0.4760289,0.37006974,0.29397538,0.4122675,-0.076094344,0.042197764,0.11829211
17.7977,0.07480316,0.19232047,0.1414335,0.08550989,0.11751731,0.06663035,0.01070673,-0.05088696,-0.10681058,-0.05592362
18.02311,0.3198428,0.49977326,0.70596266,0.70841277,0.17993046,0.38611984,0.38856998,0.20618938,0.20863952,0.00245013
18.88099,2.6020098,4.028836,4.6389985,4.9985156,1.426826,2.0369887,2.3965058,0.6101627,0.9696797,0.359517
20.05674,1.1121591,1.6216908,1.831134,1.8975556,0.5095317,0.7189748,0.7853966,0.20944317,0.27586487,0.0664217
19.01108,-0.13621233,0.12250218,0.056824505,-0.01491251,0.25871453,0.19303684,0.12129983,-0.06567767,-0.1374147,-0.071737014
19.121418,0.17948659,0.46691957,0.71258956,0.7622558,0.287433,0.5331029,0.5827692,0.24566996,0.29533625,0.04966627
18.682281,2.5784895,2.7241204,2.7014534,2.738398,0.14563063,0.1229639,0.15990841,-0.02266673,0.01427779,0.03694452
